case	start-time	end-time
casetype1-662	2017-09-18 10-01-13	2017-09-18 10-58-38
casetype1-662	2017-09-18 11-03-32	2017-09-18 11-17-32
casetype1-662	2017-09-18 11-18-28	2017-09-18 12-11-01
casetype1-662	2017-09-18 12-50-59	2017-09-18 12-55-03
casetype2-12688	2017-09-18 12-55-18	2017-09-18 13-29-31
casetype1-662	2017-09-18 13-45-52	2017-09-18 14-01-04
casetype1-662	2017-09-18 15-20-19	2017-09-18 15-41-30
casetype1-662	2017-09-18 16-10-52	2017-09-18 16-26-10
casetype2-12717	2017-09-18 16-26-44	2017-09-18 16-35-03
casetype2-12717	2017-09-18 16-42-01	2017-09-18 16-59-23
casetype4-399	2017-09-18 17-08-01	2017-09-18 17-19-38
casetype3-3987	2017-09-18 17-26-22	2017-09-18 17-44-04
casetype4-399	2017-09-18 17-45-11	2017-09-18 17-51-57
casetype3-3987	2017-09-19 08-43-33	2017-09-19 10-16-09
casetype3-3987	2017-09-19 10-16-43	2017-09-19 11-05-54
casetype2-12688	2017-09-19 11-37-16	2017-09-19 11-44-55
casetype3-3987	2017-09-19 13-04-28	2017-09-19 13-26-03
casetype2-12415	2017-09-19 13-48-50	2017-09-19 13-54-49
casetype2-12717	2017-09-19 13-54-49	2017-09-19 13-55-11
casetype3-3987	2017-09-19 13-55-11	2017-09-19 14-25-32
casetype2-12717	2017-09-19 14-25-32	2017-09-19 14-41-15
casetype2-12724	2017-09-19 14-51-45	2017-09-19 15-12-49
casetype4-3034	2017-09-19 15-55-46	2017-09-19 16-43-55
casetype2-12415	2017-09-19 16-56-50	2017-09-19 17-16-33
casetype2-12415	2017-09-19 17-18-07	2017-09-19 17-32-26
casetype2-12644	2017-09-19 17-36-19	2017-09-19 18-01-48
